Source,File,Fitness,Precision,Total Cases in Log,Unique Activities,XOR Operators,LOOP Operators,SEQ Operators,PAR Operators,Nested LOOPs,Nested PARs,Total Found Patterns,Verified Patterns,Discrepancy Patterns,Ghost Patterns,"Tree Exposure (Strict, End-to-End % of N)","Tree Exposure (Strict, Fragment-Level % of N)","Total Forced Volume (incl. unresolved AS, % of N)",AS-Resolved Volume (% of N),AS-Opaque Volume (% of N),Data Exposure (Confirmed % of Claimed Volume),Skipped (Complexity > 1000),Ghost Ratio %,Operator Mix
stress_tests,test_19_phantomBranch.csv,1.0,0.8076923076923077,4.0,11.0,1.0,1.0,8.0,1.0,1.0,1.0,54.0,36.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_11_nesting.csv,1.0,0.9130434782608696,8.0,13.0,4.0,2.0,5.0,1.0,2.0,1.0,40.0,27.0,1.0,0.0,125.0,100.0,162.5,37.5,0.0,96.55,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_27_par_loop_noxor.csv,1.0,0.9260869565217391,20.0,5.0,0.0,1.0,2.0,1.0,1.0,1.0,14.0,10.0,0.0,0.0,0.0,14.93,100.0,0.0,100.0,100.0,0.0,0.0,SEQ+PAR+LOOP
InterleaveData,dataset_03_loop_heavy.csv,1.0,0.9391480929210485,1000.0,20.0,1.0,1.0,17.0,1.0,1.0,1.0,151.0,119.0,0.0,0.0,,,,,,,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_08_xor_loop.csv,1.0,0.9727891156462585,26.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,20.0,12.0,0.0,0.0,61.54,100.0,65.38,3.85,0.0,100.0,0.0,0.0,SEQ+XOR+LOOP
stress_tests,test_03_loop_std.csv,1.0,0.9785714285714285,20.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,12.0,8.0,0.0,0.0,0.0,20.0,5.0,5.0,0.0,100.0,0.0,0.0,SEQ+LOOP
stress_tests,test_10_nested_par.csv,1.0,0.98125,20.0,5.0,0.0,0.0,2.0,2.0,0.0,2.0,14.0,10.0,0.0,0.0,0.0,20.0,100.0,0.0,100.0,100.0,0.0,0.0,SEQ+PAR
InterleaveData,dataset_02_xor_heavy.csv,1.0,0.9822720494836251,1000.0,20.0,5.0,1.0,13.0,1.0,1.0,1.0,111.0,87.0,0.0,0.0,,,,,,,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,sample_log.csv,1.0,1.0,10.0,8.0,1.0,0.0,5.0,1.0,0.0,1.0,41.0,27.0,0.0,0.0,60.0,100.0,100.0,40.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR
stress_tests,test_01_seq_par.csv,1.0,1.0,25.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,12.0,8.0,0.0,0.0,0.0,25.0,100.0,100.0,0.0,100.0,0.0,0.0,SEQ+PAR
stress_tests,test_02_seq_xor.csv,1.0,1.0,34.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,18.0,10.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR
stress_tests,test_04_par_xor.csv,1.0,1.0,34.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,6.0,0.0,0.0,0.0,33.33,100.0,100.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR
stress_tests,test_05_xor_seq.csv,1.0,1.0,40.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR
stress_tests,test_06_xor_xor.csv,1.0,1.0,34.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,11.0,0.0,0.0,5.88,100.0,5.88,0.0,0.0,100.0,0.0,0.0,SEQ+XOR
stress_tests,test_07_par_par.csv,1.0,1.0,20.0,5.0,0.0,0.0,2.0,2.0,0.0,2.0,14.0,10.0,0.0,0.0,0.0,20.0,100.0,100.0,0.0,100.0,0.0,0.0,SEQ+PAR
stress_tests,test_09_deep_seq.csv,1.0,1.0,20.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,SEQ
stress_tests,test_10_xor_loop.csv,1.0,1.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR+LOOP
stress_tests,test_16_tauabiyss.csv,1.0,1.0,8.0,6.0,4.0,0.0,5.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,25.0,100.0,25.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR
stress_tests,test_23_precTest2.csv,1.0,1.0,8.0,6.0,1.0,0.0,3.0,1.0,0.0,1.0,28.0,18.0,0.0,0.0,0.0,60.0,100.0,100.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR
stress_tests,test_24_zero_redo.csv,1.0,1.0,10.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,7.0,0.0,0.0,60.0,98.46,60.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR+LOOP
stress_tests,test_25_massive.csv,1.0,1.0,20.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,22.0,14.0,0.0,0.0,0.0,45.24,75.0,75.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR+LOOP
InterleaveData,dataset_01_seq_heavy.csv,1.0,1.0,1000.0,20.0,1.0,1.0,17.0,1.0,1.0,1.0,192.0,190.0,0.0,0.0,,,,,,,0.0,0.0,SEQ+XOR+PAR+LOOP
